plot,typeKey,typeShort,typeCode,typeFull,deed,houseNo,area,areaAdd,priceStart,priceDiff,priceNet,apprSCB,status,note
แปลง,ไทป์,ชื่อไทป์,รหัสไทป์,ไทป์เต็ม,เลขโฉนด,บ้านเลขที่,เนื้อที่(ตร.ว.),เนื้อที่เพิ่ม,ราคาตั้งต้น,ราคาส่วนเพิ่ม,ราคาขายสุทธิ,ราคาประเมินSCB,สถานะการขาย,หมายเหตุ
449,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247503,89/449,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
450,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247504,89/450,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
451,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247505,89/451,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
452,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247506,89/452,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
453,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247507,89/453,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
454,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247508,89/454,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
455,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247509,89/455,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
456,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247510,89/456,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
457,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247511,89/457,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
458,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247512,89/458,35.3,15.299999999999997,2200000,559000,2759000,3371050,ว่าง,
459,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247513,89/459,54.1,34.1,2200000,1123000,3323000,3906850,ว่าง,
460,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247514,89/460,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
461,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247515,89/461,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
462,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247516,89/462,33.9,13.899999999999999,2200000,516999.99999999994,2717000,3331150,ว่าง,
463,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247517,89/463,32.6,12.600000000000001,2200000,478000.00000000006,2678000,3294100,ว่าง,
464,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247518,89/464,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
465,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247519,89/465,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
466,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247520,89/466,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
467,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247521,89/467,33,13,2200000,490000,2690000,3305500,ว่าง,
468,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247522,89/468,33,13,2200000,490000,2690000,3305500,ว่าง,
469,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247523,89/469,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
470,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247524,89/470,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
471,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247525,89/471,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
472,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247526,89/472,35,15,2200000,550000,2750000,3362500,ว่าง,
473,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247527,89/473,35,15,2200000,550000,2750000,3362500,ว่าง,
474,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247528,89/474,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
475,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247529,89/475,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
476,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247530,89/476,23.4,3.3999999999999986,2200000,101999.99999999996,2302000,2936900,ว่าง,
477,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247531,89/477,33,13,2200000,490000,2690000,3305500,ว่าง,
478,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247532,89/478,35.7,15.700000000000003,2200000,571000,2771000,3382450,ว่าง,
479,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247533,89/479,24,4,2200000,120000,2320000,2954000,ว่าง,
480,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247534,89/480,24.5,4.5,2200000,135000,2335000,2968250,ว่าง,
481,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247535,89/481,24.9,4.899999999999999,2200000,146999.99999999997,2347000,2979650,ว่าง,
482,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247536,89/482,25.4,5.399999999999999,2200000,161999.99999999997,2362000,2993900,ว่าง,
483,D,ทาวน์โฮม,D MOMENT,D MOMENT บ้านทาวน์โฮม,247537,89/483,52.4,32.4,2200000,1072000,3272000,3858400,ว่าง,
